,non-sparse,sparse
10,0.0011056184768676758,0.0005248308181762696
20,0.000684356689453125,0.0005587100982666016
30,0.0009792566299438477,0.000857090950012207
40,0.0018456220626831056,0.0012204408645629882
50,0.0013449907302856446,0.0013741016387939452
60,0.0012006759643554688,0.00148162841796875
70,0.0018670082092285157,0.0019028663635253906
80,0.00233914852142334,0.0020621538162231444
90,0.002782773971557617,0.0027152061462402343
100,0.0030512094497680666,0.0026267051696777345
110,0.003193092346191406,0.0033603191375732424
120,0.0034072160720825194,0.003990729649861653
130,0.003770324918958876,0.005077332258224487
140,0.004562020301818848,0.006058522633143834
150,0.007908446448189872,0.01145466168721517
160,0.007350524266560872,0.010541486740112304
170,0.0071441650390625,0.008710384368896484
180,0.020209670066833496,0.02265477180480957
190,0.007611672083536784,0.021006464958190918
200,0.008731722831726074,0.011694908142089844
210,0.010470867156982422,0.014574050903320312
220,0.008842945098876953,0.02071213722229004
230,0.01122593879699707,0.016156911849975586
240,0.010670900344848633,0.017422914505004883
250,0.011941909790039062,0.01857304573059082
260,0.012233257293701172,0.02376079559326172
270,0.012845993041992188,0.01959991455078125
280,0.027862071990966797,0.028052091598510742
290,0.021996021270751953,0.04697680473327637
300,0.023495912551879883,0.028052091598510742
310,0.03343510627746582,0.03592205047607422
320,0.024013042449951172,0.03353285789489746
330,0.0182950496673584,0.03237509727478027
340,0.026406049728393555,0.03598523139953613
350,0.023481130599975586,0.04059171676635742
360,0.029948949813842773,0.039665937423706055
370,0.024731874465942383,0.04785799980163574
380,0.02610039710998535,0.04516196250915527
390,0.030981063842773438,0.042363882064819336
400,0.030415058135986328,0.04356193542480469
410,0.03867506980895996,0.0485081672668457
420,0.02941608428955078,0.07358694076538086
430,0.035069942474365234,0.06174802780151367
440,0.03497195243835449,0.05664706230163574
450,0.04579591751098633,0.06323909759521484
460,0.03913283348083496,0.06200289726257324
470,0.04017996788024902,0.05765104293823242
480,0.040699005126953125,0.06911396980285645
490,0.04191184043884277,0.06343722343444824
