,non-sparse,sparse
10,0.001165294647216797,0.001493215560913086
20,0.0020055294036865233,0.002515840530395508
30,0.002691197395324707,0.0041572809219360355
40,0.004510855674743653,0.005419135093688965
50,0.007637119293212891,0.008141613006591797
60,0.009541749954223633,0.010821866989135741
70,0.012055540084838867,0.016489529609680177
80,0.01483154296875,0.0195371150970459
90,0.021003031730651857,0.024521183967590333
100,0.02348620891571045,0.02896435260772705
110,0.030776190757751464,0.034285879135131835
120,0.038941597938537596,0.04111170768737793
130,0.04531084166632758,0.05147814750671387
140,0.04756692051887512,0.07148327146257673
150,0.06813955307006836,0.09608757495880127
160,0.07827532291412354,0.11194329261779785
170,0.08859333992004395,0.10806751251220703
180,0.11286300420761108,0.1317145824432373
190,0.10453200340270996,0.1775585412979126
200,0.12856006622314453,0.1856522560119629
210,0.1400163173675537,0.17175507545471191
220,0.17694091796875,0.22806382179260254
230,0.15679216384887695,0.2139272689819336
240,0.19736862182617188,0.24869704246520996
250,0.21712589263916016,0.2792778015136719
260,0.23827314376831055,0.2967360019683838
270,0.3055129051208496,0.3227217197418213
280,0.4431281089782715,0.4186890125274658
290,0.364948034286499,0.4665529727935791
300,0.42110705375671387,0.4743220806121826
310,0.5386569499969482,0.5173580646514893
320,0.4998342990875244,0.5444269180297852
330,0.49874186515808105,0.532588005065918
340,0.5786130428314209,0.606482744216919
350,0.6085927486419678,0.6492979526519775
360,0.6632132530212402,0.6234512329101562
370,0.6733319759368896,0.7375390529632568
380,0.7150399684906006,0.809136152267456
390,0.8055980205535889,0.8541171550750732
400,0.8968520164489746,0.9661848545074463
410,0.9560658931732178,1.0233888626098633
420,0.964489221572876,1.1044390201568604
430,1.0279831886291504,1.2012898921966553
440,1.1345710754394531,1.3247051239013672
450,1.242171049118042,1.3345341682434082
460,1.2439301013946533,1.3793809413909912
470,1.2694618701934814,1.5126259326934814
480,1.3321261405944824,1.5530250072479248
490,1.5060548782348633,1.5467250347137451
