,non-sparse,sparse
10,0.0014716625213623048,0.002144455909729004
20,0.0039520740509033205,0.0036365509033203123
30,0.008612275123596191,0.006103229522705078
40,0.012929821014404297,0.008490037918090821
50,0.01796126365661621,0.012395477294921875
60,0.024140310287475587,0.016889739036560058
70,0.036003923416137694,0.021552038192749024
80,0.0476435661315918,0.028635358810424803
90,0.06981313228607178,0.03558449745178223
100,0.08696815967559815,0.04735498428344727
110,0.09622178077697754,0.0514585018157959
120,0.11410400867462159,0.060929192437065974
130,0.1494149367014567,0.08094772696495056
140,0.21573933959007263,0.10491929735456194
150,0.49339410236903597,0.14053738117218018
160,0.3518104553222656,0.15485539436340331
170,0.4363439083099365,0.18675613403320312
180,0.5889172554016113,0.18433745702107748
190,0.5861352284749349,0.22599852085113525
200,0.6372599601745605,0.2670910358428955
210,0.7884197235107422,0.2650439739227295
220,1.2253568172454834,0.31534385681152344
230,1.0408720970153809,0.30402469635009766
240,1.0465757846832275,0.3800320625305176
250,1.251582145690918,0.392423152923584
260,1.3146181106567383,0.4206278324127197
270,1.371204137802124,0.4224393367767334
280,1.7808027267456055,0.5389268398284912
290,1.932983160018921,0.6542019844055176
300,2.0243449211120605,0.6090731620788574
310,2.351144790649414,0.6835038661956787
320,2.499730110168457,0.6863119602203369
330,2.4098880290985107,0.7697582244873047
340,2.8673579692840576,0.8836977481842041
350,3.177229881286621,0.8891668319702148
360,3.1876769065856934,0.9243261814117432
370,3.118597984313965,0.9742369651794434
380,3.6735422611236572,1.0880358219146729
390,3.993039131164551,1.1377239227294922
400,3.829566240310669,1.2710580825805664
410,4.503387212753296,1.3718149662017822
420,5.029254198074341,1.5418338775634766
430,5.271435022354126,1.5654499530792236
440,5.634331941604614,1.8073887825012207
450,5.489566087722778,1.8890881538391113
460,5.52041220664978,1.951301097869873
470,5.917099952697754,1.845606803894043
480,6.489267110824585,2.0445921421051025
490,6.989745140075684,1.996953010559082
